id,key,value,type
41572850,highway,turning_circle,Regular
41572859,highway,turning_circle,Regular
41572863,highway,turning_circle,Regular
41573296,highway,turning_circle,Regular
41573841,highway,traffic_signals,Regular
41573856,highway,traffic_signals,Regular
41573914,highway,traffic_signals,Regular
41573917,highway,traffic_signals,Regular
41573941,highway,traffic_signals,Regular
41573960,highway,traffic_signals,Regular
41573960,traffic_signals,signal,Regular
41573972,railway,level_crossing,Regular
41573974,highway,traffic_signals,Regular
41573980,highway,traffic_signals,Regular
41573982,highway,traffic_signals,Regular
41573995,highway,traffic_signals,Regular
41575061,highway,turning_circle,Regular
41575373,highway,traffic_signals,Regular
41575448,highway,turning_circle,Regular
41576001,highway,turning_circle,Regular
41576016,highway,turning_circle,Regular
41576700,highway,turning_circle,Regular
41576737,highway,turning_circle,Regular
41576746,highway,turning_circle,Regular
41576866,highway,turning_circle,Regular
41576870,highway,turning_circle,Regular
41576873,highway,turning_circle,Regular
41576887,highway,turning_circle,Regular
41576892,highway,turning_circle,Regular
41576900,highway,traffic_signals,Regular
41577328,highway,turning_circle,Regular
41577381,highway,turning_circle,Regular
41577398,highway,turning_circle,Regular
41577803,highway,turning_circle,Regular
41577831,highway,turning_circle,Regular
41578030,highway,turning_circle,Regular
41578407,highway,turning_circle,Regular
41579437,highway,traffic_signals,Regular
41579461,highway,turning_circle,Regular
41579478,highway,turning_circle,Regular
41579484,highway,turning_circle,Regular
41579487,highway,turning_circle,Regular
41579488,highway,turning_circle,Regular
41579492,highway,turning_circle,Regular
41579577,highway,turning_circle,Regular
41579899,highway,traffic_signals,Regular
41580058,highway,turning_circle,Regular
41580062,highway,turning_circle,Regular
41580181,noexit,yes,Regular
41580181,source,Bing,Regular
41580238,highway,turning_circle,Regular
41580267,highway,turning_circle,Regular
41580455,highway,turning_circle,Regular
41580469,highway,turning_circle,Regular
41580873,highway,turning_circle,Regular
41580914,highway,turning_circle,Regular
41580918,highway,turning_circle,Regular
41580932,highway,turning_circle,Regular
41580942,highway,turning_circle,Regular
41580972,highway,turning_circle,Regular
41580979,highway,turning_circle,Regular
41581491,highway,turning_circle,Regular
41581635,highway,turning_circle,Regular
41582054,highway,turning_circle,Regular
41582056,highway,turning_circle,Regular
41582068,highway,turning_circle,Regular
41582099,highway,turning_circle,Regular
41582144,highway,turning_circle,Regular
41582158,highway,turning_circle,Regular
41582177,highway,turning_circle,Regular
41582191,highway,turning_circle,Regular
41582197,highway,turning_circle,Regular
41582202,highway,turning_circle,Regular
41582221,highway,turning_circle,Regular
41582222,highway,turning_circle,Regular
41582485,highway,turning_circle,Regular
41582495,highway,turning_circle,Regular
41582499,highway,turning_circle,Regular
41582501,highway,turning_circle,Regular
41582513,highway,turning_circle,Regular
41583578,highway,turning_circle,Regular
41584878,highway,traffic_signals,Regular
41584890,highway,traffic_signals,Regular
41584922,highway,turning_circle,Regular
41584983,highway,turning_circle,Regular
