id,user,uid,version,changeset,timestamp
5577125,AJ Riley,157922,2,16749146,2013-06-29T09:02:13Z
5577126,AJ Riley,157922,2,16749146,2013-06-29T09:02:13Z
5577207,TheDutchMan13,1330847,7,36057393,2015-12-20T02:24:04Z
5577209,TheDutchMan13,1330847,5,36057393,2015-12-20T02:24:05Z
5577210,kookiemonster,709614,5,12070846,2012-06-30T22:50:14Z
5577212,kookiemonster,709614,4,12070846,2012-06-30T22:50:14Z
5577338,TheDutchMan13,1330847,6,36057393,2015-12-20T02:24:02Z
5577343,Bike Mapper,74705,2,19682150,2013-12-28T16:53:14Z
5577401,DaveHansenTiger,7168,1,329256,2007-09-04T23:55:01Z
5577404,DaveHansenTiger,7168,1,329256,2007-09-04T23:55:02Z
5577405,adenium,4111,2,1375112,2009-06-01T04:36:45Z
5577594,jfuredy,32890,2,827290,2009-03-18T16:47:04Z
5577596,TheDutchMan13,1330847,4,25866762,2014-10-05T07:14:05Z
5577665,SimMoonXP,3392,3,13781083,2012-11-07T02:55:56Z
5577736,jfuredy,32890,4,1154841,2009-05-11T18:15:31Z
5577781,inah_telenav,5188736,2,51844833,2017-09-08T13:06:10Z
5577848,Dr Kludge,292665,5,45363882,2017-01-22T06:33:17Z
5577892,AJ Riley,157922,2,16749146,2013-06-29T09:02:13Z
5577897,DaveHansenTiger,7168,1,329256,2007-09-05T00:03:19Z
5578057,marianp_telenav,5351387,16,52383903,2017-09-26T12:42:03Z
5578060,Dr Kludge,292665,8,15867809,2013-04-26T04:35:18Z
5578095,piligab,3877019,13,41414685,2016-08-12T17:19:29Z
5578130,inah_telenav,5188736,7,51812856,2017-09-07T13:38:32Z
5578438,calfarome,2511706,10,41470155,2016-08-15T15:44:02Z
5578649,DaveHansenTiger,7168,1,329256,2007-09-05T00:18:56Z
5578650,DaveHansenTiger,7168,1,329256,2007-09-05T00:18:56Z
5578747,Dr Kludge,292665,9,15867809,2013-04-26T04:35:18Z
5578756,kookiemonster,709614,4,12361238,2012-07-20T05:01:05Z
5578758,TheDutchMan13,1330847,4,27476923,2014-12-15T08:57:48Z
5578762,kookiemonster,709614,3,12361238,2012-07-20T05:01:03Z
5578984,TheDutchMan13,1330847,5,35699070,2015-12-02T05:12:49Z
5579119,calfarome,2511706,12,41417771,2016-08-12T20:01:27Z
5579225,DaveHansenTiger,7168,1,329256,2007-09-05T00:29:33Z
5579227,Dr Kludge,292665,3,14318576,2012-12-18T13:40:40Z
5579399,oanac2_telenav,4827272,9,52382346,2017-09-26T11:33:48Z
5579431,TheDutchMan13,1330847,4,20957294,2014-03-06T19:56:24Z
5579435,inah_telenav,5188736,3,51844833,2017-09-08T13:06:10Z
5579475,inah_telenav,5188736,9,51634078,2017-09-01T06:43:03Z
5579590,marianp_telenav,5351387,21,52382705,2017-09-26T11:52:01Z
5579592,Dr Kludge,292665,9,15867809,2013-04-26T04:35:19Z
5579599,marianp_telenav,5351387,19,52383903,2017-09-26T12:42:03Z
5579660,TheDutchMan13,1330847,3,27644912,2014-12-23T07:25:51Z
5579664,TheDutchMan13,1330847,4,27644912,2014-12-23T07:25:51Z
5579671,TheDutchMan13,1330847,3,27644912,2014-12-23T07:25:52Z
5579677,TheDutchMan13,1330847,3,43020209,2016-10-19T21:32:01Z
5579777,bogdanp_telenav,4433679,3,52068684,2017-09-15T13:03:40Z
5579820,Dr Kludge,292665,4,13746927,2012-11-04T13:41:00Z
5579823,TheDutchMan13,1330847,6,35699070,2015-12-02T05:10:46Z
5579824,Dr Kludge,292665,3,13746927,2012-11-04T13:40:58Z
5580026,kookiemonster,709614,5,12361238,2012-07-20T05:01:05Z
5580234,Dr Kludge,292665,3,9874793,2011-11-19T16:55:33Z
5580238,TheDutchMan13,1330847,6,35841125,2015-12-09T08:42:32Z
5580290,Dr Kludge,292665,11,15867809,2013-04-26T04:35:18Z
5580310,marianp_telenav,5351387,12,52382705,2017-09-26T11:52:01Z
5580563,kookiemonster,709614,3,12042600,2012-06-28T02:13:01Z
5580566,kookiemonster,709614,7,12042600,2012-06-28T02:13:03Z
5580567,kookiemonster,709614,3,12042600,2012-06-28T02:13:01Z
5580618,Dr Kludge,292665,3,29442436,2015-03-13T07:56:48Z
5580655,kookiemonster,709614,4,12361238,2012-07-20T05:01:03Z
5580787,jinalfoflia,2847988,4,32380657,2015-07-03T07:19:41Z
5580841,TheDutchMan13,1330847,4,35840729,2015-12-09T08:09:24Z
5580894,Dami_Tn,2012449,15,26561101,2014-11-05T00:14:48Z
5581031,marianp_telenav,5351387,10,52382705,2017-09-26T11:52:01Z
5581287,kookiemonster,709614,10,12042600,2012-06-28T02:13:01Z
5581288,kookiemonster,709614,4,12042600,2012-06-28T02:13:02Z
5581309,kookiemonster,709614,3,12042600,2012-06-28T02:13:02Z
5581312,kookiemonster,709614,3,12042600,2012-06-28T02:13:02Z
5581313,kookiemonster,709614,3,12042600,2012-06-28T02:13:01Z
5581417,kookiemonster,709614,4,12309678,2012-07-19T05:54:17Z
5581473,ridixcr,2508151,6,45251598,2017-01-17T19:20:14Z
5581528,piligab,3877019,12,41414528,2016-08-12T17:10:31Z
5581644,TheDutchMan13,1330847,4,35840729,2015-12-09T08:09:25Z
5581654,kookiemonster,709614,5,12070846,2012-06-30T22:50:12Z
5581783,TheDutchMan13,1330847,8,49088626,2017-05-30T00:54:39Z
5581850,marianp_telenav,5351387,10,52382705,2017-09-26T11:52:01Z
5581944,jfuredy,32890,3,840425,2009-03-20T22:46:13Z
5582061,kookiemonster,709614,4,12042600,2012-06-28T02:13:03Z
5582130,TheDutchMan13,1330847,3,38996098,2016-04-30T09:51:34Z
5582161,calfarome,2511706,5,32368580,2015-07-02T20:54:19Z
5582214,kookiemonster,709614,3,12361238,2012-07-20T05:01:05Z
5582217,kookiemonster,709614,4,12361238,2012-07-20T05:01:04Z
5582340,inah_telenav,5188736,3,51845510,2017-09-08T13:27:17Z
5582374,kookiemonster,709614,7,12070846,2012-06-30T22:50:15Z
5582377,kookiemonster,709614,3,12070846,2012-06-30T22:50:14Z
5582397,adenium,4111,2,1375112,2009-06-01T04:36:05Z
5582398,DaveHansenTiger,7168,1,329934,2007-09-05T01:37:22Z
5582399,marianp_telenav,5351387,15,52382705,2017-09-26T11:52:02Z
5582417,marianp_telenav,5351387,11,52386108,2017-09-26T14:17:55Z
5582738,Dr Kludge,292665,5,15960603,2013-05-03T13:33:51Z
5582739,Dr Kludge,292665,5,15960603,2013-05-03T13:33:51Z
5582835,TheDutchMan13,1330847,4,36057393,2015-12-20T02:24:09Z
